index,name,isActive,registered,age,dep,gender,eyeColor,favoriteFruit,company,tags
0,"Aurelia Gonzales",false,"2015-02-11T04:22:39+0000",20,"Developer","female","green","banana",{"title":"YURTURE","email":"aureliagonzales@yurture.com","phone":"+1 (940) 501-3963","location":{"country":"USA","address":"694 Hewes Street"}},["enim","id","velit","ad","consequat"]
1,"Kitty Snow",false,"2018-01-23T04:46:15+0000",38,"Sales","female","blue","apple",{"title":"DIGITALUS","email":"kittysnow@digitalus.com","phone":"+1 (949) 568-3470","location":{"country":"Italy","address":"154 Arlington Avenue"}},["ut","voluptate","consequat","consequat"]
2,"Hays Wise",false,"2015-02-23T10:22:15+0000",24,"Developer","male","green","strawberry",{"title":"EXIAND","email":"hayswise@exiand.com","phone":"+1 (801) 583-3393","location":{"country":"France","address":"795 Borinquen Pl"}},["amet","ad","elit","ipsum"]
3,"Karyn Rhodes",true,"2014-03-11T03:02:33+0000",39,"Testing","female","green","strawberry",{"title":"RODEMCO","email":"karynrhodes@rodemco.com","phone":"+1 (801) 505-3760","location":{"country":"USA","address":"521 Seigel Street"}},["cillum","exercitation","excepteur"]
4,"Alison Farmer",false,"2018-01-22T10:05:45+0000",33,"Testing","female","brown","banana",{"title":"OTHERSIDE","email":"alisonfarmer@otherside.com","phone":"+1 (902) 572-3954","location":{"country":"Italy","address":"356 Newkirk Placez"}},["deserunt","et","duis","dolor"]
5,"Grace Larson",true,"2014-04-20T11:37:23+0000",20,"Testing","female","blue","apple",{"title":"OVOLO","email":"gracelarson@ovolo.com","phone":"+1 (930) 510-3310","location":{"country":"USA","address":"932 Linden Street"}},["fugiat","minim"]
6,"Carmella Morse",false,"2014-06-08T11:20:22+0000",39,"Sales","female","green","apple",{"title":"SHEPARD","email":"carmellamorse@shepard.com","phone":"+1 (829) 478-3744","location":{"country":"Germany","address":"379 Tabor Court"}},["amet","cillum"]
7,"Anastasia Blake",true,"2016-07-01T02:32:46+0000",40,"Developer","female","brown","strawberry",{"title":"ZERBINA","email":"anastasiablake@zerbina.com","phone":"+1 (867) 563-3788","location":{"country":"Italy","address":"147 Montague Terrace"}},["Lorem","consequat","ex","pariatur","labore"]
8,"Dale Holman",false,"2014-07-11T09:08:36+0000",22,"Sales","male","green","strawberry",{"title":"ISONUS","email":"daleholman@isonus.com","phone":"+1 (871) 452-3036","location":{"country":"Italy","address":"586 Blake Court"}},["tempor","aliqua","duis"]
9,"Tina Barnett",true,"2015-03-09T11:16:38+0000",39,"Sales","female","blue","apple",{"title":"JETSILK","email":"tinabarnett@jetsilk.com","phone":"+1 (963) 569-3905","location":{"country":"Germany","address":"514 Lefferts Avenue"}},["veniam","proident"]
10,"Belinda Zimmerman",true,"2015-11-19T02:18:09+0000",34,"Sales","female","green","apple",{"title":"COMTRAK","email":"belindazimmerman@comtrak.com","phone":"+1 (899) 410-3073","location":{"country":"France","address":"259 Bergen Street"}},["nisi","officia","nisi"]
11,"Morrison Sheppard",false,"2014-07-23T04:46:35+0000",34,"Sales","male","green","strawberry",{"title":"CANDECOR","email":"morrisonsheppard@candecor.com","phone":"+1 (825) 473-3920","location":{"country":"USA","address":"585 Wilson Street"}},["culpa","adipisicing","veniam","aliquip"]
12,"Le Farley",false,"2014-11-24T07:41:12+0000",36,"Sales","male","green","banana",{"title":"JAMNATION","email":"lefarley@jamnation.com","phone":"+1 (962) 402-3088","location":{"country":"USA","address":"613 Lewis Avenue"}},["exercitation","enim","deserunt"]
